job_title,job_type,position_level,city,experience,skills,job_fields,salary,salary_min,salary_max,unit,avg_salary
digital commerce executive,nhân viên chính thức,"trưởng nhóm , giám sát",hồ chí minh,5 - 8 năm,"chuyên viên tư vấn, digital optimization, seo, search enginer marketing, digital performance","truyền thông, bán sỉ, quảng cáo, đối ngoại, bán lẻ, thực phẩm & đồ uống",25 tr - 25 tr vnd,25.0,25.0,vnd,25.0
talent acquisition executive,nhân viên chính thức,nhân viên,hà nội,2 - 5 năm,"chuyên viên tư vấn, nhân viên tư vấn, consultant, counsellor, senior consultant, tư vấn viên","đào tạo, giáo dục, nhân sự",9 tr - 12 tr vnd,9.0,12.0,vnd,10.5
nhân viên digital marketing,nhân viên chính thức,nhân viên,hà nội,trên 2 năm,"chuyên viên social media, marketer, chuyên viên pr marketing, nhân viên digital marketing, online marketing executive, marketing executive, nhân viên marketing online, marketing specialist, nhân viên marketing, chuyên viên marketing online, marketing operations officer","marketing, tiếp thị, tiếp thị trực tuyến",15 tr - 25 tr vnd,15.0,25.0,vnd,20.0
nhân viên it hệ thống,nhân viên chính thức,nhân viên,hồ chí minh,trên 1 năm,"it supervisor, nhân viên it hệ thống, it helpdesk, it executive, it support, it specialist, nhân viên tin học, it engineer, it administrator, it staff, it officer","mạng, cntt - phần mềm, đào tạo, cntt - phần cứng, giáo dục",10 tr - 12 tr vnd,10.0,12.0,vnd,11.0
nhân viên phụ kho tại minh khai hà nội,nhân viên chính thức,nhân viên,hà nội,không yêu cầu,Unknown,"kho vận, lao động phổ thông, vật tư, vận chuyển, giao nhận, thu mua",6 tr - 10 tr vnd,6.0,10.0,vnd,8.0
digital marketing,nhân viên chính thức,nhân viên,hà nội,2 - 5 năm,Unknown,"truyền thông, tiếp thị, marketing, quảng cáo, đối ngoại",10 tr - 17 tr vnd,10.0,17.0,vnd,13.5
recruitment training staff,nhân viên chính thức,nhân viên,hồ chí minh,1 - 5 năm,recruitment staff,"hành chính, thư ký, nhân sự",10 tr - 12 tr vnd,10.0,12.0,vnd,11.0
sales executive biên hòa đồng nai ưu tiên nữ có bằng lái xe b2 tiếng anh tốt,nhân viên chính thức,nhân viên,đồng nai,3 - 5 năm,"sales executive biên hòa đồng nai ưu tiên nữ có bằng lái xe b tiếng anh tốt, nhân viên kinh doanh, chuyên viên bán hàng, quản lý kinh doanh, nhân viên bán hàng, sales supervisor, chuyên viên kinh doanh","kinh doanh, xây dựng, bán hàng, cơ khí, ô tô, tự động hóa",16 tr - 23 tr vnd,16.0,23.0,vnd,19.5
digital marketing đi làm ngay,nhân viên chính thức,nhân viên,hà nội,trên 2 năm,"online, social media","tiếp thị, marketing, tiếp thị trực tuyến, cơ khí, ô tô, tự động hóa",10 tr - 16 tr vnd,10.0,16.0,vnd,13.0
quality assurance executive,nhân viên chính thức,nhân viên,hồ chí minh,1 - 2 năm, quality assurance executive,"quản lý chất lượng (qa, dịch vụ khách hàng, qc)",13 tr - 14 tr vnd,13.0,14.0,vnd,13.5
110574 automatic controls engineer manufacturing,nhân viên chính thức,"trưởng nhóm , giám sát",đồng nai,trên 5 năm,"php, vbb, mybb, javascript, developer, joomla, jquery, ajax, software engineer, automatic controls engineer leader level manufacturing","sản xuất, cơ khí, vận hành sản xuất, ô tô, tự động hóa",20 tr - 30 tr vnd,20.0,30.0,vnd,25.0
chuyên viên khách hàng cá nhân lào cai,nhân viên chính thức,nhân viên,lào cai,1 - 2 năm,Unknown,"tài chính, ngân hàng, bất động sản, đầu tư",10 tr - 15 tr vnd,10.0,15.0,vnd,12.5
nhân viên content website,nhân viên chính thức,nhân viên,hồ chí minh,trên 1 năm,"content marketing, content, website content writer, marketing","đào tạo, giáo dục, tiếp thị, marketing",lên đến 14 tr vnd,0.0,14.0,vnd,7.0
nhân viên digital,nhân viên chính thức,nhân viên,hồ chí minh,1 - 2 năm,"digital marketer, nhân viên digital nhận việc ngay, nhân viên digital marketing, chuyên viên digital marketing, online, digital marketing staff, digital marketing executive","tiếp thị, marketing, dịch vụ khách hàng, tiếp thị trực tuyến",15 tr - 20 tr vnd,15.0,20.0,vnd,17.5
giám sát vệ sinh công nghiệp đồng nai,nhân viên chính thức,"trưởng nhóm , giám sát",đồng nai,2 - 3 năm,"nhân viên môi trường, ky thuat moi truong, kỹ sư môi trường, an toan moi truong, chuyên viên môi trường, hse executive, quản lý môi trường, environmental officer, giám sát vệ sinh công nghiệp đồng nai dầu giây","nhân sự, ngành khác, dịch vụ khách hàng",8 tr - 10 tr vnd,8.0,10.0,vnd,9.0
sales engineer,nhân viên chính thức,nhân viên,hồ chí minh,3 - 15 năm,Unknown,"điện, kinh doanh, mạng, điện tử, bán hàng, cntt - phần cứng, điện lạnh",15 tr - 30 tr vnd,15.0,30.0,vnd,22.5
nhân viên bán hàng tại văn phòng quận hoàng mai hà nội,nhân viên chính thức,nhân viên,hà nội,không yêu cầu,"tư vấn kinh doanh, tư vấn bán hàng, đại diện kinh doanh, sales representative, salesman, nhân viên kinh doanh, nvkd, bán hàng, đại diện bán hàng","điện, kinh doanh, điện tử, bán hàng, cơ khí, điện lạnh, ô tô, tự động hóa",8 tr - 50 tr vnd,8.0,50.0,vnd,29.0
112274 electronics engineer manager manufacturing,nhân viên chính thức,nhân viên,long an,trên 10 năm," electronics engineer manager manufacturing, kỹ sư điện tử","vận hành sản xuất, sản xuất",30 tr - 40 tr vnd,30.0,40.0,vnd,35.0
video editor cum photographer,nhân viên chính thức,nhân viên,hồ chí minh,2 - 7 năm,"photographer, marketing, video editor, nhân viên chỉnh sửa hình ảnh, editor","truyền thông, tiếp thị, marketing, quảng cáo, thiết kế, đối ngoại, nghệ thuật, mỹ thuật",15 tr - 20 tr vnd,15.0,20.0,vnd,17.5
nhân viên digital marketing,nhân viên chính thức,nhân viên,hà nội,không yêu cầu,"chuyên viên social media, marketer, chuyên viên pr marketing, online marketing executive, marketing executive, nhân viên marketing online, marketing specialist, nhân viên marketing, chuyên viên marketing online, marketing operations officer","truyền thông, tiếp thị, marketing, truyền hình, báo chí, quảng cáo, đối ngoại, biên tập",12 tr - 17 tr vnd,12.0,17.0,vnd,14.5
chuyên viên it devops,nhân viên chính thức,"trưởng nhóm , giám sát",hà nội,2 - 5 năm,"it supervisor, nhân viên it, it helpdesk, it executive, it support, it specialist, nhân viên tin học, it engineer, it staff, it officer",cntt - phần mềm,25 tr - 30 tr vnd,25.0,30.0,vnd,27.5
training manager,nhân viên chính thức,quản lý,hà nội,trên 5 năm,"giám đốc đào tạo, trưởng phòng đào tạo, training manager net upto m ++","tiếp thị, marketing, dệt may, thời trang, đào tạo, da giày, giáo dục",35 tr - 45 tr vnd,35.0,45.0,vnd,40.0
junior quality assurance specialist,nhân viên chính thức,nhân viên,hồ chí minh,1 - 3 năm,"kaizen specialist, qa, chuyên viên qa, chuyên viên quản lý chất lượng, qa specialist, qc, quality control specialist, qc specialist","quản lý chất lượng (qa, tiếp thị trực tuyến, dịch vụ khách hàng, qc)",14 tr - 18 tr vnd,14.0,18.0,vnd,16.0
chuyên viên khách hàng cá nhân phòng giao dịch tam hiệp cn đồng nai,nhân viên chính thức,nhân viên,đồng nai,không yêu cầu,Unknown,"ngân hàng, kinh doanh, tài chính, bán hàng, đầu tư",9 tr - 35 tr vnd,9.0,35.0,vnd,22.0
senior full stack developer,nhân viên chính thức,nhân viên,hồ chí minh,5 - 10 năm,"c#, .net, .net developer, reactjs, lập trình, .net programmer, senior full stack developer c# & reactjs",cntt - phần mềm,"1,000 - 4,000 usd",25.0,100.0,usd,62.5
editor quản lý tiktok,nhân viên chính thức,nhân viên,hồ chí minh,1 - 2 năm,Unknown,"truyền hình, báo chí, biên tập",12 tr - 15 tr vnd,12.0,15.0,vnd,13.5
nhân viên kinh doanh kiêm kỹ thuật tại hoàng mai hn,nhân viên chính thức,nhân viên,hà nội,không yêu cầu,"đại diện kinh doanh, nhân viên phòng kinh doanh, sales executive, salesman, sales dept, sales engineer, nhân viên bán hàng, telesales, đại diện bán hàng, chuyên viên kinh doanh","bảo trì, điện, kinh doanh, sửa chữa, điện tử, bán hàng, điện lạnh",8 tr - 25 tr vnd,8.0,25.0,vnd,16.5
trưởng nhóm digital marketing,nhân viên chính thức,"trưởng nhóm , giám sát",hà nội,2 - 5 năm,"digital marketing manager, leader digital marketing, online, digital marketing executive, social media, digital marketing specialist, trưởng nhóm digital marketing","truyền thông, tiếp thị, marketing, quảng cáo, đối ngoại, ngành khác",14 tr - 18 tr vnd,14.0,18.0,vnd,16.0
trưởng nhóm triển khai kỹ thuật,nhân viên chính thức,quản lý,hà nội,3 - 5 năm,Unknown,"nội ngoại thất, xây dựng, kiến trúc",20 tr - 25 tr vnd,20.0,25.0,vnd,22.5
kỹ sư bảo trì hệ thồng utility,nhân viên chính thức,nhân viên,đồng nai,1 - 2 năm,"nhân viên bảo trì, maintenance man, maintenance engineer, chuyên viên bảo trì","bảo trì, điện, sửa chữa, điện tử, cơ khí, ô tô, điện lạnh, tự động hóa",8 tr - 15 tr vnd,8.0,15.0,vnd,11.5
nhân viên kiểm soát chất lượng vận hành tt khai thác,nhân viên chính thức,nhân viên,bình dương,1 - 2 năm,Unknown,"kho vận, vận chuyển, qc), quản lý chất lượng (qa, giao nhận",8 tr - 10 tr vnd,8.0,10.0,vnd,9.0
content writer,nhân viên chính thức,nhân viên,hà nội,1 - 2 năm,"marketing, content staff, content writer, content executive, copywriter, content marketing, nhân viên content marketing, senior content executive, nhân viên nội dung, nhân viên marketing","tiếp thị, marketing, kinh doanh, bán hàng, xuất nhập khẩu",8 tr - 12 tr vnd,8.0,12.0,vnd,10.0
chuyên viên data trang trại,nhân viên chính thức,nhân viên,lâm đồng,1 - 5 năm,"thông tin trang trại, việc hot, thống kê, việc tốt, chăn nuôi thú y, tập đoàn th, chuyên viên data, nhân viên thông tin trang trại, việc tốt lâm đồng, nhân viên data","chăn nuôi, thú y, thống kê, nông nghiệp",10 tr - 15 tr vnd,10.0,15.0,vnd,12.5
nhân viên triển khai kỹ thuật cad,nhân viên chính thức,nhân viên,hà nội,2 - 3 năm,Unknown,"nội ngoại thất, kiến trúc",15 tr - 20 tr vnd,15.0,20.0,vnd,17.5
senior ai vision engineer,nhân viên chính thức,nhân viên,hồ chí minh,6 - 10 năm,"ai, opencv, data scientist, pytorch, computer vision",cntt - phần mềm,"1,000 - 3,000 usd",25.0,75.0,usd,50.0
nhân viên kinh doanh khu vực đồng nai bình dương vũng tàu,nhân viên chính thức,nhân viên,đồng nai,không yêu cầu,"đại diện kinh doanh, nhân viên kinh doanh khu vực đồng nai bình dương vũng tàu, nhân viên phòng kinh doanh, sales executive, salesman, sales dept, trình dược viên kênh nhà thuốc, nhân viên bán hàng, đại diện bán hàng, chuyên viên kinh doanh","bán sỉ, dược phẩm, kinh doanh, bán hàng, bán lẻ",8 tr - 15 tr vnd,8.0,15.0,vnd,11.5
educational consultant trainee,"nhân viên chính thức, bán thời gian",mới tốt nghiệp,hồ chí minh,không yêu cầu,"chuyên viên tư vấn, nhân viên tư vấn, executive, counsellor, senior, educational consultant trainee, tư vấn viên","đào tạo, giáo dục",8 tr - 10 tr vnd,8.0,10.0,vnd,9.0
trưởng nhóm digital marketing technical,nhân viên chính thức,"trưởng nhóm , giám sát",hà nội,1 - 3 năm,"trưởng nhóm digital marketing technical leader marketing techinical, chuyên viên digital marketing, digital marketing specialist, technical leader","truyền thông, tiếp thị, marketing, tiếp thị trực tuyến, quảng cáo, đối ngoại",18 tr - 28 tr vnd,18.0,28.0,vnd,23.0
đồng nai trưởng nhóm kinh doanh chuyển phát nhanh,nhân viên chính thức,quản lý,đồng nai,3 - 5 năm,"chăm sóc khách hàng, nhân viên phòng","bưu chính viễn thông, kho vận, giao nhận, vận chuyển",20 tr - 35 tr vnd,20.0,35.0,vnd,27.5
academics affairs,nhân viên chính thức,nhân viên,hồ chí minh,2 - 3 năm,Unknown,"đào tạo, giáo dục",8 tr - 12 tr vnd,8.0,12.0,vnd,10.0
nhân viên it,nhân viên chính thức,nhân viên,hồ chí minh,1 - 10 năm,"nhân viên mạng nội bộ, it, nhân viên it, nhân viên công nghệ thông tin, nhân viên it helpdesk","mạng, cntt - phần cứng",10 tr - 15 tr vnd,10.0,15.0,vnd,12.5
chuyên viên it,nhân viên chính thức,nhân viên,hà nội,1 - 2 năm,Unknown,"mạng, cntt - phần mềm, cntt - phần cứng",10 tr - 15 tr vnd,10.0,15.0,vnd,12.5
printing engineer,nhân viên chính thức,nhân viên,long an,5 - 8 năm,Unknown,"sản xuất, dệt may, thời trang, da giày, vận hành sản xuất",20 tr - 32 tr vnd,20.0,32.0,vnd,26.0
management trainee,nhân viên chính thức,nhân viên,đồng nai,trên 1 năm,"thực tập viên quản lý, management trainee purchasing department english or chinese speaking","thu mua, vật tư",8 tr - 11 tr vnd,8.0,11.0,vnd,9.5
it helpdesk,nhân viên chính thức,nhân viên,hồ chí minh,2 - 3 năm,"nhân viên hỗ trợ kỹ thuật, it helpdesk, it support, technical assistant, service engineer, it support assistant","mạng, cntt - phần cứng",9 tr - 12 tr vnd,9.0,12.0,vnd,10.5
training l d supervisor,nhân viên chính thức,"trưởng nhóm , giám sát",hồ chí minh,3 - 5 năm,"l&d, otd, talent development, training developement, organization development, learning and development","đào tạo, giáo dục, nhân sự",25 tr - 30 tr vnd,25.0,30.0,vnd,27.5
